"","Iplant_Double","Low","m","High","Index"
"1","",1730,1952.83898305085,2140,2
"2"," ms1",2210,2292.60663507109,2370,2
"3"," ms3",2130,2230,2330,2
"4"," sp 1",1370,1511.11111111111,1380,1
"5"," sp 2",1740,1751.97530864198,1790,2
"6"," sp 3",1732,1735,1738,2
"7"," sp 5",1908,2072.5,2230,2
"8"," sp 7",1970,1985,2000,2
"9"," sp 8",1940,1984,1990,2
"10","??? ???",1950,1950,1950,2
"11","Abutilon pictum",1410,1415,1420,1
"12","Alloplectus",1950,2114.16666666667,2340,2
"13","Alloplectus strigosus",2470,2470,2470,2
"14","Alloplectus tetragonoides",1940,1976.02941176471,2010,2
"15","Begonia",2130,2081.66666666667,2150,2
"16","Begonia longirostris",2140,2131.69435215947,2240,2
"17","Begonia tiliifolia",1950,2002.5,2170,2
"18","Besleria",1858,2004,2120,2
"19","Besleria anomala",1810,1810,1810,2
"20","Besleria quitensis",1786,1855,1924,2
"21","Besleria solanoides",1830,1992.09358752166,2130,2
"22","Blakea",1634,1672.89156626506,1660,1
"23","Blakea quadriflora",1600,1649.26910299003,1660,1
"24","Bomarea multiflora",2380,2386.36363636364,2444,2
"25","Bomarea pardina",1950,2094.83870967742,2276,2
"26","Brugmansia",1738,1758,1764,2
"27","Brugmansia candida",1736,1740,1744,2
"28","Burmeistera",1750,1826.0101010101,1836,2
"29","Burmeistera crispiloba",1740,1940.78947368421,2130,2
"30","Burmeistera cylindrocarpa",1988,2089.18918918919,2140,2
"31","Burmeistera multiflora",1570,1605.29069767442,1654,1
"32","Calathea affinis",2120,2120,2120,2
"33","Calathea ischnosiphonoides",1904,2003.33333333333,2126,2
"34","Canna jaegeriana",1370,1371.66666666667,1370,1
"35","Cavendishia grandifolia",1580,1580,1580,1
"36","Centropogon",2142,2228.57142857143,2402,2
"37","Centropogon nigricans",2160,2266.63492063492,2450,2
"38","Centropogon solanifolius",1970,2094.71739130435,2240,2
"39","Clusia",1750,1750,1750,2
"40","Columnea",1980,2172.41935483871,2300,2
"41","Columnea affinis",1824,1935,2046,2
"42","Columnea ciliata",1370,1736.77361853832,2010,3
"43","Columnea katzensteiniae",1754,2088.57142857143,2374,2
"44","Columnea kucyniakii",1830,1905.82120582121,2000,2
"45","Columnea lanata",1690,1690,1690,1
"46","Columnea mastersonii",1370,1531.60083160083,1680,1
