"","Iplant_Double","Low","m","High","Index"
"47","Columnea medicinalis",1988,2086.52631578947,2210,2
"48","Columnea ovatifolia",2330,2377.77777777778,2410,2
"49","Columnea picta",1370,1515.525606469,1670,1
"50","Columnea purpurata",1378,1476.66666666667,1558,1
"51","Columnea stricta",1380,1380,1380,1
"52","Columnea strigosa",2172,2306.57587548638,2410,2
"53","Costus",1366,1413.75,1430,1
"54","Diastema racemiferum",1730,1742.5,1752,2
"55","Drymonia",1370,1370,1370,1
"56","Drymonia brochidodroma",1694,1772.85714285714,1912,3
"57","Drymonia collegarum",1970,2034.64285714286,2130,2
"58","Drymonia tenuis",1750,1767.08333333333,1950,2
"59","Drymonia teuscheri",2150,2268.54368932039,2380,2
"60","Erythrina",1370,1512.66666666667,1730,3
"61","Erythrina edulis",1590,1636.66666666667,1720,3
"62","Faramea",1760,1760,1760,2
"63","Faramea calyptrata",1750,1919.96825396825,2190,2
"64","Fuchsia macrostigma",1890,2119.68085106383,2310,2
"65","Gasteranthus",1596,1660,1734,3
"66","Gasteranthus lateralis",2160,2236.66666666667,2330,2
"67","Gasteranthus leopardus",2020,2090,2146,2
"68","Gasteranthus quitensis",1580,1716.63150955834,1830,3
"69","Glossoloma",1792,2052,2350,2
"70","Glossoloma herthae",1940,1940,1940,2
"71","Glossoloma oblongicalyx",2210,2303.83259911894,2412,2
"72","Glossoloma purpureum",1370,1491.78272980501,1630,1
"73","Gunnera",1722,1823.33333333333,1950,2
"74","Gurania",1370,1457.77777777778,1528,1
"75","Guzmania",1380,1739.18918918919,1950,3
"76","Guzmania amplectens",1770,1878.81355932203,1950,2
"77","Guzmania jaramilloi",1740,1850.79295154185,1970,2
"78","Guzmania squarrosa",2140,2288,2386,2
"79","Guzmania wittmackii",1368,1370,1372,1
"80","Heliconia",1370,1420.90909090909,1540,1
"81","Heliconia burleana",1940,1962.97297297297,1950,2
"82","Heliconia griggsiana",1580,1605.91836734694,1660,1
"83","Heliconia impudica",1570,1692.2641509434,1776,3
"84","Heliconia virginalis",1372,1407.64705882353,1430,1
"85","Hydrangea peruviana",1770,1815.42857142857,1820,2
"86","Inga",1360,1360,1360,1
"87","Justicia",1370,1370,1370,1
"88","Justicia secunda",1370,1372.06896551724,1380,1
"89","Kohleria",1380,1763.47222222222,2140,3
"90","Kohleria affinis",1960,2053.20855614973,2120,2
"91","Kohleria inaequalis",1732,1756.66666666667,1748,2
"92","Lantana camara",1380,1380,1380,1
"93","Macleania",1542,1637.72727272727,1640,1
"94","Macleania bullata",2130,2250.66666666667,2372,2
"95","Macleania macrantha",2400,2399.71428571429,2450,2
"96","Macleania recumbens",1370,1570,1700,3
"97","Macleania stricta",1940,2161.03636363636,2400,2
"98","Macrocarpaea sodiroana",1650,1650,1650,1
"99","Marcgravia",2024,2173.07692307692,2302,2
"100","Meriania",1750,1826.78571428571,1830,2
"101","Meriania tomentosa",2130,2303.78920953576,2440,2
"102","Mezobromelia",2120,2175,2366,2
"103","Mezobromelia capituligera",1950,2135.17699115044,2340,2
"104","Mimosa",1370,1372.5,1378,1
"105","Mimosa albida",1378,1378,1380,1
"106","Neomortonia",1950,1970.4347826087,2010,2
"107","Norantea anomala",1780,1867.8313253012,1950,2
"108","Palicourea",1592,1960,2270,3
"109","Palicourea acetosoides",1960,2110.6160164271,2260,2
"110","Palicourea demissa",1370,1605.32831451276,1950,3
"111","Palicourea lineata",2270,2361.61157024793,2450,2
"112","Palicourea sodiroi",2120,2115.71428571429,2130,2
"113","Pitcairnia",1748,1770,1788,2
"114","Pitcairnia nigra",1740,1768.55421686747,1810,2
"115","Pitcairnia sodiroi",2330,2352.16216216216,2420,2
"116","Podandrogyne",1740,1885.98130841121,2000,2
"117","Psamisia",1386,1722.14285714286,1858,3
"118","Psamisia acetosoides",1950,1950,1950,2
"119","Psamisia leopardus",2410,2410,2410,2
"120","Psamisia solanoides",1740,1740,1740,2
"121","Psammisia",1620,1620,1620,1
"122","Psammisia aberrans",1590,1664.63087248322,1820,3
"123","Psammisia debilis",2440,2440,2440,2
"124","Psammisia ecuadorensis",1850,1911.25,1990,2
"125","Psammisia sodiroi",2130,2273.90070921986,2420,2
"126","Psammisia ulbrichiana",1792,2066.98689956332,2400,2
"127","Psychotria",1370,1370,1370,1
"128","Renealmia",2322,2276.66666666667,2440,2
"129","Renealmia sessilifolia",1640,1720.80952380952,1810,3
"130","Salvia",1370,1376,1380,1
"131","Salvia quitensis",1370,1372.7807486631,1380,1
"132","Solanum",1698,1773.33333333333,1842,3
"133","Sphyrospermum sodiroi",2450,2457.5,2464,2
"134","Stromanthe",1380,1380,1380,1
"135","Stromanthe stromanthoides",1360,1369.47692307692,1372,1
"136","Tillandsia",1580,1580,1580,1
"137","Tillandsia complanata",1950,2044.4019138756,2130,2
"138","Tropaeolum",1760,1833,1820,2
"139","Wercklea ferox",1590,1592.35294117647,1600,1
"140","Werklea ferox",1570,1567.69230769231,1610,1
